id,area_id,node_point
100011,10001,1
100021,10002,1
100031,10003,1
100041,10004,1
100051,10005,1
100061,10006,1
100071,10007,1
100081,10008,1
100091,10009,1
100101,10010,1
100111,10011,1
200011,20001,1
200012,20001,2
200013,20001,3
200014,20001,4
200015,20001,5
200021,20002,1
200022,20002,2
200023,20002,3
200041,20004,1
200042,20004,2
200043,20004,3
200044,20004,4
200051,20005,1
200052,20005,2
200053,20005,3
200054,20005,4
200061,20006,1
200062,20006,2
200063,20006,3
200071,20007,1
200072,20007,2
200073,20007,3
200074,20007,4
200081,20008,1
200082,20008,2
200083,20008,3
200091,20009,1
200092,20009,2
200093,20009,3
200101,20010,1
200102,20010,2
200103,20010,3
200104,20010,4
200105,20010,5
200111,20011,1
200112,20011,2
200113,20011,3
200114,20011,4
200121,20012,1
200122,20012,2
200123,20012,3
200124,20012,4
200125,20012,5
200131,20013,1
200132,20013,2
200133,20013,3
200141,20014,1
200142,20014,2
200143,20014,3
200144,20014,4
300011,30001,1
300021,30002,1
300031,30003,1
400011,40001,1
400021,40002,1
400031,40003,1
400041,40004,1