id,item_id,item_ability_id
1,200001,1
2,100003,2
3,200001,100001
4,200002,100001
5,200003,100001
6,200004,100001
7,200005,100001
8,200005,100001
9,400001,200001
10,200006,100001
11,200006,3
12,200007,100001
13,200008,100001
14,200009,100001
15,200010,100001
16,200011,100001
17,400002,200001
18,200012,100001
19,200013,100001
20,200014,100001
21,400003,200001
22,100008,300001
23,100009,300001
24,100010,300001
25,400007,200001
26,200015,100001
27,200016,100001
28,200017,100001
29,200018,100001
30,200019,100001
31,200020,100001
32,200021,100001
33,200022,100001
34,200023,100001
35,200024,100001
36,200025,100001
37,200026,100001
38,200027,100001
39,200028,100001
40,200029,100001
41,200030,100001
42,200031,100001
43,200032,100001
44,200033,100001
45,200034,100001
46,200035,100001
47,200036,100001
48,200037,100001
49,200038,100001
50,200039,100001
51,200040,100001
52,200041,100001
53,200042,100001
54,200043,100001
55,200044,100001
56,200045,100001
57,200046,100001
58,200047,100001
59,200048,100001
60,200049,100001
61,200050,100001
62,200051,100001
63,200052,100001
64,200053,100001
65,200054,100001
66,200055,100001
67,200056,100001